validation_set,score,row_count,old_mae,new_mae,mae_delta_new_minus_old,old_rmse,new_rmse,rmse_delta_new_minus_old,old_r2,new_r2,r2_delta_new_minus_old,new_better_by_mae,new_better_by_rmse
human_verified_150,digital_affinity_score,150,,10.538523477304679,,,12.96331132976486,,,0.578364870555057,,,
human_verified_150,price_sensitivity_score,150,,12.522972979106544,,,15.591835912802628,,,-0.09526998553981869,,,
human_verified_150,trust_sensitivity_score,150,,10.769452483402402,,,12.988779002673132,,,-0.7208265312391533,,,
human_verified_150,convenience_need_score,150,,9.128566640375787,,,11.398560351494986,,,0.2964613211197581,,,
human_verified_150,quality_sensitivity_score,150,,10.372681829503422,,,12.978007261338412,,,0.04822984797239349,,,
human_verified_150,novelty_acceptance_score,150,,10.900207061735063,,,13.118149921723747,,,0.5200915869286031,,,
human_verified_150,local_affinity_score,150,,11.083802816663352,,,12.61548175206175,,,-0.7623117529610206,,,
human_verified_150,family_decision_score,150,,10.439530625798493,,,13.706169838408599,,,0.6024038126107051,,,
human_verified_150,health_safety_sensitivity_score,150,,10.834823202531943,,,13.477292843917986,,,0.3731019180546009,,,
human_verified_150,review_dependency_score,150,,15.375476248747745,,,19.695354418734915,,,-1.1671771417466545,,,
gpt_review_156,digital_affinity_score,156,,10.653058464747486,,,12.99794139847019,,,0.60159738201023,,,
gpt_review_156,price_sensitivity_score,156,,12.584571149593517,,,15.61583406282606,,,-0.12241424951576718,,,
gpt_review_156,trust_sensitivity_score,156,,10.61648513198293,,,12.837868671542957,,,-0.6697907500700055,,,
gpt_review_156,convenience_need_score,156,,9.098664476427931,,,11.30146956795538,,,0.29740604464359044,,,
gpt_review_156,quality_sensitivity_score,156,,10.38521728498595,,,12.951519622546309,,,0.06066129841706325,,,
gpt_review_156,novelty_acceptance_score,156,,11.277856398429456,,,13.552411018384385,,,0.5191032873734794,,,
gpt_review_156,local_affinity_score,156,,11.09990613303626,,,12.608570411143525,,,-0.5662081468723232,,,
gpt_review_156,family_decision_score,156,,10.725877658209948,,,14.135973077583682,,,0.5808930901837448,,,
gpt_review_156,health_safety_sensitivity_score,156,,10.800507255077774,,,13.431191628253684,,,0.37443254828417394,,,
gpt_review_156,review_dependency_score,156,,15.112248805055643,,,19.422722215457775,,,-0.8380745284701945,,,
deepseek_pro_408,digital_affinity_score,408,,8.882153183569661,,,11.044011182204816,,,0.6821443523911881,,,
deepseek_pro_408,price_sensitivity_score,408,,8.384724470117872,,,10.061898610767567,,,0.16759084358411847,,,
deepseek_pro_408,trust_sensitivity_score,408,,8.837281623309352,,,10.060493554288659,,,-0.6863653893574408,,,
deepseek_pro_408,convenience_need_score,408,,7.32753241615361,,,9.233472258706817,,,0.47406728065403403,,,
deepseek_pro_408,quality_sensitivity_score,408,,8.716666508518225,,,10.727832035928072,,,0.01521238494314825,,,
deepseek_pro_408,novelty_acceptance_score,408,,9.214000652079527,,,11.233598393019522,,,0.5758525476798745,,,
deepseek_pro_408,local_affinity_score,408,,9.058336573463034,,,10.660089129244623,,,-0.05661127367950747,,,
deepseek_pro_408,family_decision_score,408,,9.632022780819291,,,13.121696274647178,,,0.5780125187242732,,,
deepseek_pro_408,health_safety_sensitivity_score,408,,9.120866518500343,,,10.940014318424994,,,0.3071892083675195,,,
deepseek_pro_408,review_dependency_score,408,,11.855735634645743,,,13.992971891542144,,,-0.8599024989317618,,,
