validation_set,score,row_count,eval_count,old_mae,new_mae,mae_delta_new_minus_old,old_rmse,new_rmse,rmse_delta_new_minus_old,old_r2,new_r2,r2_delta_new_minus_old,old_mean_pred,new_mean_pred,mean_true,old_bias,new_bias,new_better_by_mae,new_better_by_rmse
human_verified_150,digital_affinity_score,150,150,9.42,10.538523477304679,1.118523477304679,11.481869766433224,12.96331132976486,1.4814415633316358,0.6692269495091735,0.578364870555057,-0.09086207895411647,48.44,50.22232849449313,53.07333333333333,-4.633333333333334,-2.851004838840203,False,False
human_verified_150,price_sensitivity_score,150,150,11.213333333333333,12.522972979106544,1.3096396457732116,14.1124058898545,15.591835912802628,1.4794300229481276,0.10271833633555227,-0.09526998553981869,-0.19798832187537097,60.13333333333333,61.06425545365353,51.693333333333335,8.44,9.370922120320193,False,False
human_verified_150,trust_sensitivity_score,150,150,10.48,10.769452483402402,0.2894524834024015,12.381706936713801,12.988779002673132,0.6070720659593309,-0.5637289590870949,-0.7208265312391533,-0.15709757215205844,64.80666666666667,65.0778820995654,55.913333333333334,8.893333333333333,9.164548766232071,False,False
human_verified_150,convenience_need_score,150,150,8.2,9.128566640375787,0.928566640375788,10.236535872387039,11.398560351494986,1.1620244791079468,0.43259390285724597,0.2964613211197581,-0.13613258173748788,50.00666666666667,49.82527060887197,47.7,2.3066666666666666,2.1252706088719737,False,False
human_verified_150,quality_sensitivity_score,150,150,9.26,10.372681829503422,1.1126818295034226,11.713524946260485,12.978007261338412,1.2644823150779274,0.22466164416486412,0.04822984797239349,-0.17643179619247062,70.74666666666667,71.00550575180799,65.42,5.326666666666667,5.585505751807987,False,False
human_verified_150,novelty_acceptance_score,150,150,9.18,10.900207061735063,1.7202070617350635,10.98271369015873,13.118149921723747,2.1354362315650164,0.6636181864695174,0.5200915869286031,-0.1435265995409143,45.99333333333333,45.60763697693236,47.29333333333334,-1.3,-1.6856963564009777,False,False
human_verified_150,local_affinity_score,150,150,14.873333333333333,11.083802816663352,-3.7895305166699806,16.40751860174678,12.61548175206175,-3.7920368496850294,-1.9809923993220218,-0.7623117529610206,1.2186806463610012,61.39333333333333,65.89671929550292,76.16,-14.766666666666667,-10.26328070449708,True,True
human_verified_150,family_decision_score,150,150,9.926666666666666,10.439530625798493,0.5128639591318276,12.356105103685925,13.706169838408599,1.3500647347226735,0.6768730503291283,0.6024038126107051,-0.07446923771842318,67.64,68.2902989398116,65.88666666666667,1.7533333333333334,2.4036322731449453,False,False
human_verified_150,health_safety_sensitivity_score,150,150,9.133333333333333,10.834823202531943,1.7014898691986104,11.512312249645305,13.477292843917986,1.9649805942726815,0.5425783334603949,0.3731019180546009,-0.16947641540579395,59.193333333333335,61.011330974225515,58.00666666666667,1.1866666666666668,3.0046643075588393,False,False
human_verified_150,review_dependency_score,150,150,17.913333333333334,15.375476248747745,-2.537857084585589,22.372453300133774,19.695354418734915,-2.6770988813988588,-1.7963661157952338,-1.1671771417466545,0.6291889740485792,59.26,56.440049061455355,41.81333333333333,17.446666666666665,14.626715728122017,True,True
gpt_review_156,digital_affinity_score,156,156,9.647435897435898,10.653058464747486,1.0056225673115886,11.681949696773597,12.99794139847019,1.3159917016965927,0.6781869154748934,0.60159738201023,-0.07658953346466335,49.30128205128205,51.084940226083745,54.34615384615385,-5.044871794871795,-3.261213620070104,False,False
gpt_review_156,price_sensitivity_score,156,156,11.08974358974359,12.584571149593517,1.4948275598499272,13.963780988227345,15.61583406282606,1.6520530745987152,0.10251157132460087,-0.12241424951576718,-0.22492582084036805,59.92307692307692,61.08032731146159,51.56410256410256,8.35897435897436,9.516224747359015,False,False
